x,y
0,-0
-62.6086956521738,44.0579710144927
-79.9084668192219,56.2318840579709
-53.3262220217675,82.8141288554253
53.1644895949087,53.1644895949087
-9.44420605726513,97.2224606094013
-26.7439772243132,109.39637365288
-0.161732426858862,135.978618450334
106.328979189817,106.328979189817
43.7202835376435,150.38695020431
26.4205123705955,162.560863247788
53.0027571680498,189.143108045243
159.493468784726,159.493468784726
96.8847731325522,203.551439799219
79.5850019655041,215.725352842697
106.167246762958,242.307597640151
212.657958379635,212.657958379635
150.049262727461,256.715929394127
132.749491560413,268.889842437606
159.331736357867,295.47208723506
265.822447974543,265.822447974543
203.21375232237,309.880418989036
185.913981155321,322.054332032514
212.496225952776,348.636576829969
318.986937569452,318.986937569452
256.378241917278,363.044908583945
239.07847075023,375.218821627423
265.660715547684,401.801066424877
372.151427164361,372.151427164361
309.542731512187,416.209398178853
292.242960345139,428.383311222332
318.825205142593,454.965556019786
425.315916759269,425.315916759269
362.707221107096,469.373887773762
345.407449940047,481.54780081724
371.989694737502,508.130045614695
478.480406354178,478.480406354178
415.871710702004,522.538377368671
398.571939534956,534.712290412149
425.15418433241,561.294535209603
531.644895949087,531.644895949087
469.036200296913,575.702866963579
451.736429129865,587.876780007058
478.318673927319,614.459024804512
584.809385543995,584.809385543995
522.200689891822,628.867356558488
504.900918724773,641.041269601966
531.483163522228,667.623514399421
637.973875138904,637.973875138904
575.36517948673,682.031846153397
558.065408319682,694.205759196875
584.647653117136,720.788003994329
691.138364733813,691.138364733813
628.529669081639,735.196335748305
611.229897914591,747.370248791784
301.525433975545,467.139469063264
567.347881950088,732.961917037807
8.1851365333665,84.8166269345124
61.3496261282752,137.981116529421
114.514115723184,191.14560612433
167.678605318093,244.310095719238
220.843094913001,297.474585314147
274.00758450791,350.639074909056
327.172074102819,403.803564503964
380.336563697727,456.968054098873
433.501053292636,510.132543693782
486.665542887545,563.29703328869
539.830032482453,616.461522883599
592.994522077362,669.626012478508
646.159011672271,722.790502073417
